Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Azerbaijan,031,Output,14,12,Output at factor values,32,"Radio,television and communication equipment",32,1028000.0,M,1046101.74,
2004,Azerbaijan,031,Output,14,12,Output at factor values,33,"Medical, precision and optical instruments",33,3262000.0,M,3319439.58,
2004,Azerbaijan,031,Output,14,12,Output at factor values,34,"Motor vehicles, trailers, semi-trailers",34,2628000.0,M,2674275.67,
2004,Azerbaijan,031,Output,14,12,Output at factor values,35,Other transport equipment,35,8.1047E7,M,8.247413239E7,
2004,Azerbaijan,031,Output,14,12,Output at factor values,36,Furniture; manufacturing n.e.c.,36,2.0038E7,M,2.039084315E7,
2004,Azerbaijan,031,Output,14,12,Output at factor values,37,Recycling,37,927000.0,M,943323.27,
2004,Azerbaijan,031,Output,14,14,Output (valuation not defined),40,"Electricity, gas, steam and hot water supply",40,4.13207E8,M,4.204830385E8,
2004,Azerbaijan,031,Output,14,14,Output (valuation not defined),41,"Water collection, purification, distribution",41,4.6547E7,M,4.73666322E7,
2004,Bahrain,048,Output,14,14,Output (valuation not defined),15,Food and beverages,15,8.7429645E7,M,2.325256516E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),17,Textiles,17,2986400.0,M,7942553.19,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),18,"Wearing apparel, fur",18A,1.26881318E8,M,3.3745031383E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,1007159.0,M,2678614.36,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),21,Paper and paper products,21,7372360.0,M,1.960734043E7,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,2.2049301E7,M,5.864175798E7,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),23,"Coke,refined petroleum products,nuclear fuel",23,1.419670907E9,M,3.77572049734E9,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,1.02998403E8,M,2.7393192287E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,2.8849063E7,M,7.672623138E7,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),26,Non-metallic mineral products,26,1.61301877E8,M,4.2899435372E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),27,Basic metals,27,5.25593945E8,M,1.3978562367E9,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),28,Fabricated metal products,28,3.7610925E7,M,1.0002905585E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),31,Electrical machinery and apparatus,31A,1.53548021E8,M,4.0837239628E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),33,"Medical, precision and optical instruments",33,986350.0,M,2623271.28,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),34,"Motor vehicles, trailers, semi-trailers",34A,9.3319622E7,M,2.4819048404E8,Special note:UNIDO Estimate
2004,Bahrain,048,Output,14,14,Output (valuation not defined),36,Furniture; manufacturing n.e.c.,36,2.2721731E7,M,6.043013564E7,Special note:UNIDO Estimate
2004,Belgium,056,Output,14,14,Output (valuation not defined),10,Mining of coal and lignite; extraction of peat,10A,3.490000153E7,M,4.341217373E7,
2004,Belgium,056,Output,14,14,Output (valuation not defined),12,Mining of uranium and thorium ores,12,0.0,M,0.0,
